convective_available_potential_energy,k_index,cross_totals_index,vertical_totals_index,lifted_index,showalter_index,temp_1000_hpa,dewpoint_1000_hpa,temp_850_hpa,dewpoint_850_hpa,temp_700_hpa,dewpoint_700_hpa,temp_500_hpa,dewpoint_500_hpa,rain
508.22,35.4,20.1,22.9,-1.48,0.16,27.0,22.2,18.6,15.8,10.2,6.9,-4.3,11.3,0
508.22,35.4,20.1,22.9,-1.48,0.16,27.0,22.2,18.6,15.8,10.2,6.9,-4.3,11.3,0
952.96,32.2,19.2,22.1,-2.35,1.33,26.2,23.5,18.0,15.1,11.0,6.0,-4.1,26.1,0
952.96,32.2,19.2,22.1,-2.35,1.33,26.2,23.5,18.0,15.1,11.0,6.0,-4.1,26.1,0
276.15,33.7,17.1,23.1,-0.87,2.82,26.2,22.1,19.0,13.0,9.0,6.6,-4.1,34.1,0
276.15,33.7,17.1,23.1,-0.87,2.82,26.2,22.1,19.0,13.0,9.0,6.6,-4.1,34.1,0
938.36,18.0,19.6,22.7,-2.06,0.75,26.8,23.1,18.4,15.3,10.2,-9.8,-4.3,36.3,0
938.36,18.0,19.6,22.7,-2.06,0.75,26.8,23.1,18.4,15.3,10.2,-9.8,-4.3,36.3,0
135.81,21.1,16.3,23.3,0.16,3.59,26.6,20.6,18.8,11.8,10.4,-3.6,-4.5,36.5,0
135.81,21.1,16.3,23.3,0.16,3.59,26.6,20.6,18.8,11.8,10.4,-3.6,-4.5,36.5,0
156.8,14.7,14.7,21.7,1.5,5.12,26.8,20.8,19.0,12.0,11.0,-8.0,-2.7,27.7,0
156.8,14.7,14.7,21.7,1.5,5.12,26.8,20.8,19.0,12.0,11.0,-8.0,-2.7,27.7,0
414.94,32.3,17.9,23.9,-1.25,1.86,26.6,22.0,19.4,13.4,8.6,3.6,-4.5,14.5,1
414.94,32.3,17.9,23.9,-1.25,1.86,26.6,22.0,19.4,13.4,8.6,3.6,-4.5,14.5,0
144.08,23.3,12.7,23.7,0.43,5.91,26.4,21.8,20.6,9.6,9.0,-1.0,-3.1,40.1,0
144.08,23.3,12.7,23.7,0.43,5.91,26.4,21.8,20.6,9.6,9.0,-1.0,-3.1,40.1,0
269.54,29.3,16.5,22.5,-0.86,3.5,26.8,21.8,18.8,12.8,9.4,3.4,-3.7,16.7,0
269.54,29.3,16.5,22.5,-0.86,3.5,26.8,21.8,18.8,12.8,9.4,3.4,-3.7,16.7,0
153.22,33.9,18.4,21.5,0.06,2.04,26.2,21.2,18.2,15.1,9.6,6.9,-3.3,29.3,1
153.22,33.9,18.4,21.5,0.06,2.04,26.2,21.2,18.2,15.1,9.6,6.9,-3.3,29.3,0
481.8,28.3,17.9,25.9,-3.62,1.64,26.4,22.5,19.4,11.4,10.4,1.4,-6.5,-9.1,1
481.8,28.3,17.9,25.9,-3.62,1.64,26.4,22.5,19.4,11.4,10.4,1.4,-6.5,-9.1,0
